ID DB_NPU,DIVISI,NAMA BAHAN,SATUAN NPU,SIBOLANGIT,REST AREA,BASKET,CADIKA,HARVEST MOON
20269001,BAKSO SIBO,PREPARE KUAH BAKSO SIBO,RESEP,FALSE,TRUE,TRUE,FALSE,FALSE
20269002,BAR,COMPLIMENT CUSTOMER GULA CAIR,SHOT,TRUE,TRUE,TRUE,TRUE,FALSE
20269003,BAR,KALIBRASI BEANS FULL ARABICA,BREW,TRUE,TRUE,TRUE,TRUE,FALSE
20269004,BAR,KALIBRASI BEANS HOUSE BLEND,BREW,TRUE,TRUE,TRUE,TRUE,FALSE
20269005,BAR,PREPARE WHIPPCREAM,GRAM BAHAN KERING,TRUE,TRUE,TRUE,TRUE,FALSE
20269006,DAIZU,PREPARE TEPUNG DAIZU,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20269007,DAPUR,PREPARE NASI PUTIH,GRAM BAHAN KERING,TRUE,TRUE,TRUE,TRUE,FALSE
20269008,DAPUR,PREPARE TEPUNG UBI,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20269009,MAK ACIK,PREPARE ADONAN TEPUNG GORENG,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20269010,MAK ACIK,PREPARE ISIAN,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20269011,MAK ACIK,PREPARE KULIT RISOL,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20269012,ODENG GO,PREPARE KUAH KALDU ODENG GO,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20269013,ODENG GO,PREPARE KUAH TOM YAM ODENG GO,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
