ID SELECT_PREPARE_BAHAN_BY_CABANG,DIVISI,NAMA BAHAN,SATUAN BAHAN,SATUAN PREPARE,SIBOLANGIT,REST AREA,BASKET,CADIKA,HARVEST MOON
20260002,BAKSO SIBO,BAWANG GORENG,GRAM,GRAM BAHAN MENTAH,FALSE,TRUE,TRUE,FALSE,FALSE
20260003,BAKSO SIBO,BIANG CABE BAKSO,GRAM,RESEP,FALSE,TRUE,TRUE,FALSE,FALSE
20260004,BAKSO SIBO,BIANG KALDU BAKSO,GRAM,RESEP,FALSE,TRUE,TRUE,FALSE,FALSE
20260005,BAKSO SIBO,BIHUN,BUNGKUS,BUNGKUS BAHAN MENTAH,FALSE,TRUE,TRUE,FALSE,FALSE
20260009,BAKSO SIBO,MIE AYAM,PCS,PACK BAHAN MENTAH,FALSE,TRUE,TRUE,FALSE,FALSE
20260010,BAKSO SIBO,MIE KUNING,BUNGKUS,BUNGKUS BAHAN MENTAH,FALSE,TRUE,TRUE,FALSE,FALSE
20260011,BAKSO SIBO,MINYAK BAWANG,GRAM,RESEP,FALSE,TRUE,TRUE,FALSE,FALSE
20260014,BAKSO SIBO,SEMUR AYAM,GRAM,RESEP,FALSE,TRUE,TRUE,FALSE,FALSE
20260018,BAR,AREN CAIR,GRAM,GRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260023,BAR,BIANG BLACK TEA,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260024,BAR,BIANG FOAM,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260025,BAR,BIANG KOSUJU,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260049,BAR,GULA CAIR,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260055,BAR,KRIMER CAIR,GRAM,GRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260082,BAR,SETUJU GO - AREN,BOTOL,RESEP,TRUE,FALSE,FALSE,FALSE,FALSE
20260083,BAR,SETUJU GO - HAZELNUT,BOTOL,RESEP,TRUE,FALSE,FALSE,FALSE,FALSE
20260084,BAR,SETUJU GO - VANILLA,BOTOL,RESEP,TRUE,FALSE,FALSE,FALSE,FALSE
20260087,BAR,STUDENT - COKLAT,BOTOL,RESEP,FALSE,FALSE,FALSE,FALSE,FALSE
20260088,BAR,STUDENT - LEMON TEA,BOTOL,RESEP,FALSE,FALSE,FALSE,FALSE,FALSE
20260089,BAR,STUDENT - LYCHEE TEA,BOTOL,RESEP,FALSE,FALSE,FALSE,FALSE,FALSE
20260090,BAR,STUDENT - MATCHA,BOTOL,RESEP,FALSE,FALSE,FALSE,FALSE,FALSE
20260091,BAR,STUDENT - RED VELVET,BOTOL,RESEP,FALSE,FALSE,FALSE,FALSE,FALSE
20260092,BAR,STUDENT - TARO,BOTOL,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260132,DAPUR,AYAM BESAR,PCS,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260133,DAPUR,AYAM CAKALANG,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260134,DAPUR,AYAM FILLET PAHA,BUNGKUS,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260135,DAPUR,BABY CUMI,GRAM,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260137,DAPUR,BAKSO GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260140,DAPUR,BEEF SLICE,BUNGKUS,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260142,DAPUR,BIANG AYAM BAKAR,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260143,DAPUR,BIANG AYAM PENYET,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260144,DAPUR,BIANG BANGLADESH,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260145,DAPUR,BIANG BLACKPEPPER,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260146,DAPUR,BIANG CABE HIJAU,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260147,DAPUR,BIANG RICA-RICA,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260148,DAPUR,BUMBU DASAR,GRAM,RESEP,TRUE,TRUE,TRUE,TRUE,FALSE
20260156,DAPUR,CIRENG GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260194,DAPUR,KENTANG GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260202,DAPUR,KWETIAU,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260205,DAPUR,MASTER KECAP,GRAM,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20260208,DAPUR,MIE ACEH,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,FALSE,FALSE,FALSE,FALSE
20260211,DAPUR,NUGGET,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260213,DAPUR,OTAK OTAK GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260216,DAPUR,PISANG GORENG,BUNGKUS,TANDAN,TRUE,TRUE,TRUE,TRUE,FALSE
20260224,DAPUR,SAUS SAMBARASA,GRAM,RESEP,,FALSE,TRUE,TRUE,FALSE
20260234,DAPUR,SETUJU PLATTER,BUNGKUS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",FALSE,TRUE,FALSE,FALSE,FALSE
20260235,DAPUR,SNACK PLATTER,BUNGKUS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",TRUE,TRUE,TRUE,TRUE,FALSE
20260236,DAPUR,SOSIS GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260259,DAPUR,UBI CILEMBU,BUNGKUS,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260260,DAPUR,UBI GORENG,BUNGKUS,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260264,HARVESTMOON STRAWBERRY,ADONAN PANCAKE,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260265,HARVESTMOON STRAWBERRY,ADONAN WAFFLE,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260269,HARVESTMOON STRAWBERRY,COKLAT CAIR,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260287,HARVESTMOON STRAWBERRY,SELAI STRAWBERRY,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260296,HARVESTMOON STRAWBERRY,TOPPING CREAM,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260311,MAK ACIK,ADONAN BAKWAN,GRAM,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20260316,MAK ACIK,RISOL ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",TRUE,TRUE,FALSE,FALSE,FALSE
20260317,MAK ACIK,TAHU ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",TRUE,TRUE,FALSE,FALSE,FALSE
20260320,NASI OLENGG,ACAR,GRAM,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",FALSE,TRUE,FALSE,FALSE,FALSE
20260323,NASI OLENGG,BASIS,BUNGKUS,BUNGKUS BAHAN MENTAH,FALSE,TRUE,FALSE,FALSE,FALSE
